date,equity,position,daily_return,peak_equity,drawdown
2025-10-24,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-10-25,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-10-26,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-10-27,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-10-28,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-10-29,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-10-30,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-10-31,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-11-01,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-11-02,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-11-03,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-11-04,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-11-05,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-11-06,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-11-07,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-11-08,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-11-09,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-11-10,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-11-11,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-11-12,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-11-13,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-11-14,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-11-15,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-11-16,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-11-17,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-11-18,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
